date,mogden-rainfall,deephams-rainfall,beckton-rainfall,crossness-rainfall,riverside-rainfall,longreach-rainfall,beddington-rainfall,hogsmill-rainfall
1900-06-08,0.55847361,1.248388336,0.979265693,0.872578724,1.451620529,2.022310413,1.749339194,0.942918604
1900-06-09,0,0,0,0,0,0,0,0
1900-06-10,0.00015016,0,0,0.000148498,0,7.03E-05,0.000832331,0.001463945
1900-06-11,0.038640511,0.318001694,0.114576624,0.03816663,0.140435664,0.021455853,0.010958836,0.013471576
1900-06-12,5.035632889,4.953680895,4.415120701,4.306351298,3.641036806,2.952802817,6.314546655,5.947839896
1900-06-13,0.2362317,0.957384316,1.01144771,1.069066226,1.844585744,3.757879158,1.48261699,0.329451335
1900-06-14,3.569281237,3.673162308,3.101558979,2.95223988,2.568610789,1.507982549,4.991158619,4.508812339
1900-06-15,0.224833499,1.136461372,0.532194805,0.211196712,0.74414786,0.123798579,0.091030416,0.083805908
1900-06-16,0.269136784,0.456897134,0.207664681,0.07752688,0.168848213,0.032213486,0.026454187,0.035278646
1900-06-17,0,0,0,0,0,0,0,1.28E-05
1900-06-18,0,0,0,0,0,0.002818543,0,0
1900-06-19,2.104909827,1.449419304,2.545425458,3.211027168,2.710044388,4.370147163,4.682977319,3.709526332
1900-06-20,2.029280722,1.488016918,2.757341564,3.427063865,3.245747987,3.873796046,5.039473099,3.811376237
1900-06-21,6.829079092,4.76497513,6.106040785,7.103046381,4.612675676,2.954682864,10.38131903,10.62831926
1900-06-22,5.653230688,5.898366682,5.142179318,4.725077196,4.51023026,4.364178296,4.684915688,4.617175875
1900-06-23,0.005198468,0.049026722,0.033810292,0.033547962,0.075176158,0.052366987,0.049795466,0.017142975
1900-06-24,8.080012963,7.654711637,7.50121679,7.501084392,6.28548841,5.903336494,7.48578019,8.124708586
1900-06-25,4.90354324,6.363305331,6.501440032,6.859068255,7.717527415,10.78113812,9.896919964,7.061040381
1900-06-26,0,0,0,0,0,0.000232025,0,0
1900-06-27,0,0,0,0,0,0.000165797,0,0
1900-06-28,0.016457402,0.137127784,0.345211141,0.468926437,0.700358807,1.790680274,0.704660051,0.143019002
1900-06-29,5.702980603,5.960666835,4.61468779,3.857324312,3.302179542,1.02540914,3.0388123,4.321773741
1900-06-30,0.035199367,0.265463845,0.479957511,0.608019255,0.946681268,2.180292377,0.905189443,0.203077907
1900-07-01,1.925338469,1.54213229,2.113626437,2.555003582,2.13729577,2.508521955,3.89239522,3.424608808
1900-07-02,2.972359772,2.84800751,4.498014292,5.736648277,5.826733874,8.978735003,9.785846626,7.137919669
1900-07-03,5.961629577,3.978253714,5.321973655,5.88453472,4.128936181,4.076424699,3.790294805,5.460144971
1900-07-04,0.020332812,0.088852857,0.067210596,0.08096424,0.086554811,0.047477172,0.300675291,0.232448342
1900-07-05,0.080478578,0.095992694,0.129689196,0.187577861,0.14596882,0.090912507,0.603005568,0.496644684
1900-07-06,0.952072592,0.553010983,0.756748009,0.838009737,0.441136342,0.159925813,0.396860509,0.863376846
1900-07-07,0.09431966,0.125940165,0.057945274,0.020858251,0.037301097,0.006494003,0.005142943,0.008008992
1900-07-08,0.001104713,0.015272121,0.006999716,0.002658372,0.014302235,0.001639711,0.001830718,0.002995697
1900-07-09,0,0,0,0,0,0,0,0
1900-07-10,0,0,0,0,0,0,0,0
1900-07-11,0,0,0,0,0,0,0,0
